no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
31,Còi Badminton,"300 Nguyễn Xiển, Chiến Thắng, Triều Khúc",05:00 - 24:00,,,Hà Nội,,,
32,TP Badminton CN2,"Ngõ 90 Đường Mương Nổi, Tân Triều, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
33,MC Badminton,"Chiến Thắng, Triều Khúc, Nguyễn Xiển, Thanh Trì, Hà Nội",05:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
34,Đĩnh Lê - Đa Tốn,"Ngõ 15 Đa Tốn, Đa Tốn, Gia Lâm, Hà Nội",05:00 - 23:00,,Huyện Gia Lâm,Hà Nội,,,ChIJe3eFGwCvNTERNGxpKRIL9u0
35,Quân Lưu Cs1 - Tân Triều,"Đường số 1, Tổng cục V, Tân Triều, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJBab-AdWtNTERh-8Imr-6gDw
36,686 Chiến Thắng,"Ngõ 686 Đ. Chiến Thắng, P. Văn Quán, Hà Đông, Hà Nội",05:00 - 23:00,,Quận Hà Đông,Hà Nội,,,ChIJeQDATACtNTER89Qxkf7ViGI
37,Kabuto 261 Chiến Thắng,"261 Chiến Thắng, Văn Quán, Thanh Liệt, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJFxhUeQCtNTERxchN1wtoCxI
38,ACE Triều Khúc,"Ngõ 1 Vũ Đức Uý, Thanh Liệt, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJ89LsFwCtNTER9Ut8ZblpO-o
39,Số 1 Nguyễn Cảnh Dị,"1 P. Nguyễn Cảnh Dị, Định Công, Hoàng Mai, Hà Nội",05:00 - 23:00,,Quận Hoàng Mai,Hà Nội,,,ChIJ-6zaDemtNTERkfRdWHB0TmU
40,Victory Badminton Tân Triều,"Đường 25m Tân Triều mới, Thanh Liệt, Thanh Trì, Hà Nội",05:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJS00rCwCtNTERySVc7EYws9o
41,MD Badminton,111 ngõ 83 đường 25m Tân Triều Mới,05:00 - 24:00,,,Hà Nội,,,ChIJi3mUNgCtNTERoUj3IdQW5_Y
42,LC300 Badminton,"Đường Tân Triều Mới, Tân Triều, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJKdLsMIatNTERVGmzKeY49jg
43,QVbadminton Usilk 101,"Hầm B2 toà Usilk 101, Khu đô thị Văn Khê, Hà Đông, Hà Nội",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJbcoSZgBTNDERF_xkjd32uHo
44,Swin (Học Viện Chính Trị),"Khu Dịch Vụ Dọc Bún 1, La Khê, Hà Đông, Hà Nội",05:00 - 21:30,,Quận Hà Đông,Hà Nội,,,ChIJx7kpZgBTNDERgMTJVw393Xk
45,Lĩnh Nam,"255, Đ. Lĩnh Nam / Ngách 47/7 Tổ 29, Vĩnh Hưng, Hà Nội, Việt Nam",00:00 - 24:00,4,Quận Hoàng Mai,Hà Nội,,,ChIJ32vYdgCtNTERHjQSt2RRB8U
46,Vui Sport - Ecopark Bát Tràng,"61 ngõ 8 Đường Bát Khối, Hồng Hà, Bát Tràng, Gia Lâm, Hà Nội",05:00 - 23:30,,Huyện Gia Lâm,Hà Nội,,,ChIJR03YUwCvNTER9ZFpTpAy8MU
47,Maxping - Sân cầu lông - 120 Định Công,"120 P. Định Công, Phương Liệt, Thanh Xuân, Hà Nội",05:00 - 23:30,,Quận Thanh Xuân,Hà Nội,,,ChIJvVqOBRStNTERrsLWH-pyC4s
48,66B Triều Khúc,"66B Triều Khúc, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJszDveQCtNTER7pGfOg3XfUQ
49,An Bình,"Ngách 88, Ngõ 286 Đ. Nguyễn Xiển, Tân Triều, Thanh Trì",05:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
50,A&C 286 Nguyễn Xiển,"Ng. 286 Đ. Nguyễn Xiển, Triều Khúc, Thanh Trì, Hà Nội",05:30 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJk6XORwCtNTERWj_1VVs8BGk
51,Minh Dương Badminton,"Ngách 86 ngõ 286 Nguyễn Xiển, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJoYXxCgCtNTER7oVvuSOCuXY
52,TDT,"314 P. Bùi Xương Trạch, Khương Đình, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJm6d0CgCtNTERfT1ANmHsQqU
53,BMC,"Ngách 86 Ngõ 286 Đ. Nguyễn Xiển, Tân Triều, Thanh Trì",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJzVbVGQCtNTERgKDZc2s7fWk
54,SWIN 214 Nguyễn Xiển,"Ngõ 214 Nguyễn Xiển, Thanh Xuân Trung, Thanh Xuân, Hà Nội",05:00 - 21:30,,Quận Thanh Xuân,Hà Nội,,,ChIJs8cTQMCtNTERBipAaZNlodo
55,Đức Thảo 18 Tam Trinh,"18 Đ. Tam Trinh, Mai Động, Hoàng Mai, Hà Nội",05:30 - 23:30,,Quận Hoàng Mai,Hà Nội,,,ChIJsy_l65GtNTERzi-5PzkFKBk
56,Đĩnh Lê - Vinhomes Ocean Park 1,"Đối diện Hải Đăng 9, Trâu Quỳ, Gia Lâm, Hà Nội",05:00 - 24:00,,Huyện Gia Lâm,Hà Nội,,,
57,Tuấn Anh Sport Cụm 1-7,"161 Dương Văn Bé (gần Times City), Hoàng Mai, Hà Nội",00:00 - 24:00,7,Quận Hoàng Mai,Hà Nội,,,ChIJmXbWXgCtNTERWTeiqP1TvYs
58,Tuấn Anh Cụm 8-14,"161 Dương Văn Bé (gần Times City), Hoàng Mai, Hà Nội",00:00 - 24:00,7,Quận Hoàng Mai,Hà Nội,,,
59,16 Khương Hạ,"16 Khương Hạ, Ngã Tư Sở, Hà Nội",05:00 - 24:00,,,Hà Nội,,,
60,Nguyễn Quý Đức,"Số 5 Nguyễn Quý Đức, Thanh Xuân, Hà Nội",05:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,
61,41 Phương Liệt,"41 Phương Liệt, Thanh Xuân, Hà Nội",05:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJ2Uj_D3StNTERCv8g6Ze_EfM
62,Trung Văn - Mễ Trì HF Badminton,"Ngách 56 Ng. 1 P. Đại Linh, Trung Văn, Nam Từ Liêm, Hà Nội",06:00 - 22:30,,Quận Nam Từ Liêm,Hà Nội,,,ChIJ7WiBfwBTNDERnTae_wDHQNE
63,12 Khuất Duy Tiến,"Ngõ 12 Khuất Duy Tiến, Thanh Xuân, Hà Nội",05:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJO4GTawCtNTERfj53ecX8020
64,Dinkzone Pickleball & Badminton (cạnh trường ĐH Kinh doanh và Công nghệ),"65 Ngõ 124 Phố Vĩnh Tuy, Hai Bà Trưng, Hà Nội",05:00 - 24:00,,Quận Hai Bà Trưng,Hà Nội,,,ChIJM-KiIUqvNTERZMh1HeuDSFQ
65,Đĩnh Lê - Học Viện Nông Nghiệp Việt Nam,"Đường Ngô Xuân Quảng, Gia Lâm, Hà Nội",17:15 - 23:15,,Huyện Gia Lâm,Hà Nội,,,ChIJKQ4F482oNTER-6K9NJSGE20
66,TT TDTT Sân Cầu Lông 521 Minh Khai,"521 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội",00:00 - 24:00,,Quận Hai Bà Trưng,Hà Nội,,,ChIJw8ZGTgGsNTER1wUM_UMF2oo
67,VT Sport,"972 Bạch Đằng, phường Thanh Lương, quận Hai Bà Trưng",00:00 - 24:00,,Quận Hai Bà Trưng,Hà Nội,,,ChIJ2w7pabytNTERkXfgMI_guSU
68,181 Nguyễn Huy Tưởng,"181 Nguyễn Huy Tưởng, Thanh Xuân, Hà Nội",05:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJZzwqGACtNTER6bg0ViTLBjk
69,Cảnh Hồ (173B Trường Chinh) - Cụm 11 sân cầu lông & pickleball,"173B Đ. Trường Chinh, Khương Mai, Thanh Xuân, Hà Nội",05:00 - 24:00,11,Quận Thanh Xuân,Hà Nội,,,ChIJkX8OVhmtNTERdvH_ZY3qsFM
70,Pick & Badminton HUCE,"72 Trần Đại Nghĩa, Phường Bạch Mai, TP Hà Nội",06:00 - 23:00,,Quận Hai Bà Trưng,Hà Nội,,,ChIJAQD0FXGsNTERzEP7AW4YeIQ
71,La Dương Sports,"Đối diện 321 đường 72 La Dương, Dương Nội, Hà Đông",05:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJpS1qenZTNDERtZL8AXdE9P8
72,Phúc Long - 6 Lê Văn Thiêm,"Số 6 Lê Văn Thiêm, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJmRPOKaWtNTERViZDp3leb_8
73,ATUS,"55 Đường 72, La Dương, Dương Nội, Hà Đông, HN",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJJSEeeQBTNDERJvo6kmDRtmo
74,WIN Badminton,"Số 2, ngõ Tự Do 1, Long Biên, Hà Nội",06:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJq2_cJwCpNTERBFAL_lkVgyo
75,Châu Sa,"Số 10 Tôn Thất Tùng, Đống Đa, Hà Nội",05:00 - 23:30,,Quận Đống Đa,Hà Nội,,,
76,US C2 Tây Mỗ 3,"Trường THCS Tây Mỗ 3, Khu ĐT Vsmart, Phường Tây Mỗ",06:30 - 22:45,,Quận Nam Từ Liêm,Hà Nội,,,
77,Khương Thượng - 10 Tôn Thất Tùng,"10 Tôn Thất Tùng, Kim Liên, Hà Nội, Việt Nam",05:30 - 23:30,,Quận Đống Đa,Hà Nội,,,
78,Phúc Long - 27 Lê Văn Lương,"Số 6 Ngõ 27 Lê Văn Lương, Thanh Xuân, Hà Nội",05:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJewPOWA2tNTERsLZf58hZ0RQ
79,Khánh Trang,"2D Lãng Yên, Hai Bà Trưng, Hà Nội",00:00 - 24:00,,Quận Hai Bà Trưng,Hà Nội,,,ChIJ514KfACrNTERftvwB3zMxlQ
80,Us C2 Nguyễn Quý Đức,"35 Ngõ 8 Quang Tiến, Đại Mỗ, phường Tây Mỗ, Hà Nội",05:00 - 22:00,,Quận Nam Từ Liêm,Hà Nội,,,
