no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
130,Quốc Học - Long Biên,"134 Đức Giang, Long Biên, Hà Nội",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJb6bBQwCpNTERwA6_Gl0oTSk
131,Pickleball Quảng An,"Số 6 Ngõ 6 Đặng Thai Mai, Phường Tây Hồ, Hà Nội",06:00 - 22:30,,Quận Tây Hồ,Hà Nội,,,ChIJ3UGCIgCrNTERthpwph7cEmk
132,C/Lông Tô Ngọc Vân,"Số 19 Ngõ 11 Tô Ngọc Vân, Phường Tây Hồ, Hà Nội",06:30 - 21:30,,Quận Tây Hồ,Hà Nội,,,
133,Vui Sport Long Biên,"Số 95 Gia Thượng, Thượng Thanh, Long Biên, Hà Nội",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJgYLAYwCpNTERfH5kphRsVXA
134,LD Badminton Academy,"Đường Trại Gà, P. Cổ Nhuế 2, Q. Bắc Từ Liêm, Hà Nội",06:00 - 24:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJQbS89KJVNDER9pIFp9xNbMU
135,Câu Lạc Bộ Cầu Lông - Pickleball - HD 12286,"Số nhà 190 đường 420 thôn Yên Mỹ, Bình Yên, Thạch Thất",05:00 - 22:00,,Huyện Thạch Thất,Hà Nội,,,
136,Minh Anh,"Số 392 đường Bờ Tây Sông Nhuệ, Cổ Nhuế 2, Bắc Từ Liêm",00:00 - 24:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJh4ueSp1VNDER-yZiftV-qZc
137,Sân Pickleball - Cầu Lông 188 Xuân Đỉnh,"188 Đ. Xuân Đỉnh, Xuân Đỉnh, Hà Nội, Việt Nam",05:00 - 22:00,,Quận Bắc Từ Liêm,Hà Nội,,,
138,HD Badminton,"Đường Vạn Xuân, Lai Xá, Hoài Đức, Hà Nội",05:00 - 23:30,,Huyện Hoài Đức,Hà Nội,,,ChIJ5YRCtJtXNDERTmwSiZwVIyY
139,Thế Phương Sport,"Khu Phố Văn Hội, Phường Đông Ngạc, Hà Nội (nhà đa năng)",05:00 - 21:30,,Quận Bắc Từ Liêm,Hà Nội,,,
140,CTA Văn Hội - Cụm 10 sân,"Ngõ 35/1 Văn Hội, Đức Thắng, Bắc Từ Liêm, Hà Nội",05:30 - 24:00,10,Quận Bắc Từ Liêm,Hà Nội,,,ChIJJX4p-UBVNDERjfYmFpPlZ2Y
141,CTA Văn Hội - Cụm 6 sân,"Ngõ 35/1 Văn Hội, Bắc Từ Liêm, Hà Nội",05:30 - 24:00,6,Quận Bắc Từ Liêm,Hà Nội,,,
142,Việt Sport,"Trường THCS Nguyễn Thị Minh Khai, Thượng Cát, Hà Nội",07:00 - 23:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJ4yEAWwBVNDERjK5kZT-8dEo
143,US C2 Đức Thắng,"Ng. 160 Văn Hội, Đông Ngạc, Bắc Từ Liêm, Hà Nội",17:30 - 21:30,,Quận Bắc Từ Liêm,Hà Nội,,,
144,NVK Sport 52 Đông Thắng,"Ngõ 52 Đông Thắng, Đông Ngạc, Bắc Từ Liêm, Hà Nội",05:00 - 22:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJjfPesslVNDER8mLWXwjAaKc
145,Bắc Từ Liêm,"58 Tân Phong, Thụy Phương, Bắc Từ Liêm, Hà Nội",05:00 - 23:30,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJ_VY0UgBVNDERfpN0LObQ0ic
146,Thụy Phương,"Số 1 Ngõ 125, Đường Thụy Phương, Phường Đông Ngạc",08:00 - 22:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJa-TxagBVNDERRdw1wwAU8Bw
147,Sân CL Hải Hà Sport CN1,"Số 247 đường Hải Bối 2, thôn Hải Bối, xã Vĩnh Thanh, Hà Nội",00:00 - 24:00,,,Hà Nội,,Xã Vĩnh Thanh,
148,Sân CL Hải Hà Sport CN2,"Đội 3, thôn Võng La, Xã Thiên Lộc, Hà Nội",00:00 - 24:00,,,Hà Nội,,Xã Thiên Lộc,ChIJn0YMJAABNTER-yF0B8-83ao
149,Sân CL Hải Hà Sport CN4,"Trường THCS Võng La, Cổng C, KCN Bắc Thăng Long",07:00 - 22:00,,,Hà Nội,,,
150,Sân CL Hải Hà Sport CN3,"Nhà thể chất Trường Tiểu học Thăng Long, Thôn Bầu",07:00 - 22:00,,,Hà Nội,,,
151,Maxping Sân Cầu Lông 124 Vĩnh Tuy,"64 Ngõ 124 Vĩnh Tuy, Vĩnh Phú, Hai Bà Trưng",00:00 - 24:00,,Quận Hai Bà Trưng,Hà Nội,,,ChIJoZkl-_-tNTEREMDoRwS8h1o
152,Viện K,"Viện K Tân Triều, Tổng Cục V, Yên Xá",00:00 - 24:00,,,Hà Nội,,,
153,TTBC Cầu Diễn,"201 Đường Cầu Diễn, Phường Xuân Phương, Hà Nội",00:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJy1S5cgBVNDERJEqZMJrgRQs
